Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1726067722,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1726067723,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1726067724,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1726067725,30,,Aggregated,0.000000,0.000000,99,110,120,120,130,140,140,140,140,140,140,56,0,98,90.98550919660349,25.674929000160773,143.39276099963172,48.714285714285715
1726067726,40,,Aggregated,0.000000,0.000000,160,200,210,220,250,250,260,260,260,260,260,121,0,160.0,156.3070082479536,25.674929000160773,264.54128800105536,48.65289256198347
1726067727,50,,Aggregated,14.000000,0.000000,210,250,290,320,340,360,380,400,410,410,410,187,0,210.0,212.82671398398512,25.674929000160773,406.05552200031525,48.657754010695186
1726067728,50,,Aggregated,26.750000,0.000000,260,340,410,460,480,510,520,540,550,550,550,252,0,260.0,280.7224371071647,25.674929000160773,546.0271400006604,48.654761904761905
1726067729,50,,Aggregated,34.400000,0.000000,330,470,500,550,590,640,680,680,690,690,690,318,0,330.0,348.49726116669257,25.674929000160773,685.3126730002259,48.62264150943396
1726067730,50,,Aggregated,39.500000,0.000000,430,550,600,670,700,730,740,740,740,740,740,384,0,420.0,411.1702744922306,25.674929000160773,742.7846760001557,48.635416666666664
1726067731,50,,Aggregated,43.142857,0.000000,480,610,700,720,740,740,740,750,750,750,750,452,0,480.0,460.2356074469712,25.674929000160773,749.3708389993117,48.623893805309734
1726067732,50,,Aggregated,46.125000,0.000000,560,700,720,730,740,740,740,740,750,750,750,519,0,560.0,494.3933014008348,25.674929000160773,749.3708389993117,48.603082851637765
1726067733,50,,Aggregated,48.444444,0.000000,610,720,720,730,740,740,740,740,750,750,750,587,0,610.0,520.8805229506557,25.674929000160773,749.3708389993117,48.59625212947189
1726067734,50,,Aggregated,50.300000,0.000000,690,720,720,730,740,740,740,740,750,750,750,655,0,690.0,541.6145838840164,25.674929000160773,749.3708389993117,48.59236641221374
1726067735,50,,Aggregated,57.100000,0.000000,710,720,730,730,740,740,740,740,750,750,750,723,0,710.0,559.2140666058498,25.674929000160773,749.3708389993117,48.59197786998617
1726067736,50,,Aggregated,63.900000,0.000000,720,720,730,730,740,740,750,750,750,750,750,790,0,720.0,574.4665236316891,25.674929000160773,754.8279669990734,48.573417721518986
1726067737,50,,Aggregated,66.400000,0.000000,720,730,730,740,740,750,750,750,810,810,810,857,0,720.0,587.9141390023643,25.674929000160773,813.2052390010358,48.55542590431739
