Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1726068804,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1726068805,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1726068806,40,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1726068807,60,,Aggregated,0.000000,0.000000,480,480,700,700,780,780,780,780,780,780,780,6,0,340.0,448.1796126662327,185.35716599944863,783.3994769971468,477.3333333333333
1726068808,80,,Aggregated,0.000000,0.000000,780,1100,1100,1100,1200,1300,1300,1300,1300,1300,1300,11,0,780.0,758.2928793632494,185.35716599944863,1344.5795070001623,477.3636363636364
1726068809,100,,Aggregated,0.000000,0.000000,1100,1300,1700,1700,2100,2300,2300,2300,2300,2300,2300,16,0,1100.0,1108.7783748748734,185.35716599944863,2251.7197179986397,477.3125
1726068810,120,,Aggregated,2.750000,0.000000,1500,2100,2300,2400,2600,2700,2800,2800,2800,2800,2800,22,0,1300.0,1504.252243999872,185.35716599944863,2819.5353640003304,476.95454545454544
1726068811,140,,Aggregated,3.200000,0.000000,2100,2600,2800,3000,3400,3500,3700,3700,3700,3700,3700,28,0,1900.0,1891.5319974282413,185.35716599944863,3652.37569799865,477.2142857142857
1726068812,160,,Aggregated,3.500000,0.000000,2400,3000,3400,3700,4200,4500,4500,4500,4500,4500,4500,34,0,2300.0,2300.2792398230454,185.35716599944863,4537.313322998671,477.38235294117646
1726068813,180,,Aggregated,3.857143,0.000000,2600,3400,4000,4300,4900,5200,5300,5300,5300,5300,5300,39,0,2600.0,2651.2437521021825,185.35716599944863,5340.8637329994235,477.46153846153845
1726068814,200,,Aggregated,4.125000,0.000000,3100,4200,4700,5000,5800,6000,6200,6200,6200,6200,6200,46,0,3000.0,3146.6405557170538,185.35716599944863,6239.731315999961,477.3695652173913
1726068815,200,,Aggregated,4.222222,0.000000,3500,4700,5600,5800,6300,6700,6900,7000,7000,7000,7000,52,0,3400.0,3550.273231711169,185.35716599944863,6988.758643001347,477.36538461538464
1726068816,200,,Aggregated,4.400000,0.000000,3800,5200,5900,6200,7000,7300,7300,7400,7400,7400,7400,57,0,3800.0,3873.393860771645,185.35716599944863,7414.327384001808,477.280701754386
1726068817,200,,Aggregated,5.000000,0.000000,4300,5800,6400,6900,7400,7900,8200,8300,8300,8300,8300,63,0,4300.0,4262.590558475898,185.35716599944863,8306.652826002392,477.36507936507934
1726068818,200,,Aggregated,5.600000,0.000000,4900,6300,7000,7400,8500,8900,9100,9300,9300,9300,9300,70,0,4700.0,4722.156888385507,185.35716599944863,9256.32357699942,477.37142857142857
1726068819,200,,Aggregated,5.700000,0.000000,5300,6900,7600,8100,9100,9700,10000,10000,10000,10000,10000,76,0,5200.0,5119.91195831553,185.35716599944863,10022.98375099781,477.4342105263158
1726068820,200,,Aggregated,5.700000,0.000000,5800,7300,8200,8700,9800,10000,11000,11000,11000,11000,11000,82,0,5600.0,5509.5711868778435,185.35716599944863,10739.932489999774,477.4268292682927
1726068821,200,,Aggregated,5.800000,0.000000,6200,7700,8900,9400,10000,11000,12000,12000,12000,12000,12000,88,0,6000.0,5904.0974615225605,185.35716599944863,11665.747431001364,477.42045454545456
1726068822,200,,Aggregated,5.900000,0.000000,6400,8300,9400,10000,11000,12000,12000,13000,13000,13000,13000,94,0,6300.0,6304.220187733937,185.35716599944863,12539.676502001385,477.4574468085106
1726068823,200,,Aggregated,5.900000,0.000000,6900,8900,10000,11000,12000,13000,13000,13000,13000,13000,13000,100,0,6700.0,6702.878197269931,185.35716599944863,13131.306946001132,477.47
1726068824,200,,Aggregated,5.900000,0.000000,7100,9300,10000,11000,13000,13000,13000,14000,14000,14000,14000,106,0,7000.0,7085.2427070471085,185.35716599944863,13662.6641010007,477.42452830188677
1726068825,200,,Aggregated,6.000000,0.000000,7400,9800,11000,12000,13000,14000,14000,14000,14000,14000,14000,112,0,7300.0,7464.887476285674,185.35716599944863,14421.873043000232,477.38392857142856
1726068826,200,,Aggregated,6.000000,0.000000,7900,10000,12000,13000,14000,15000,15000,15000,15000,15000,15000,118,0,7700.0,7843.379787050826,185.35716599944863,15191.418236001482,477.4237288135593
1726068827,200,,Aggregated,6.000000,0.000000,8300,11000,13000,13000,14000,15000,16000,16000,16000,16000,16000,124,0,8200.0,8222.511287749983,185.35716599944863,15995.707606001815,477.4193548387097
1726068828,200,,Aggregated,6.000000,0.000000,8700,11000,13000,14000,15000,16000,17000,17000,17000,17000,17000,130,0,8600.0,8601.400952753776,185.35716599944863,16775.44707299967,477.4153846153846
1726068829,200,,Aggregated,6.100000,0.000000,9100,12000,13000,14000,16000,17000,17000,17000,17000,17000,17000,136,0,9000.0,8974.91142977202,185.35716599944863,17316.239290998055,477.38235294117646
1726068830,200,,Aggregated,6.100000,0.000000,9600,13000,14000,15000,17000,17000,18000,18000,18000,18000,18000,142,0,9400.0,9347.451997732367,185.35716599944863,18130.206722002185,477.3521126760563
1726068831,200,,Aggregated,6.100000,0.000000,10000,13000,14000,15000,17000,18000,19000,19000,19000,19000,19000,148,0,9800.0,9724.88394254728,185.35716599944863,19042.693958999735,477.3783783783784
1726068832,200,,Aggregated,6.100000,0.000000,10000,13000,15000,16000,18000,19000,19000,20000,20000,20000,20000,154,0,10000.0,10102.101098344188,185.35716599944863,19702.145671002654,477.3831168831169
1726068833,200,,Aggregated,6.100000,0.000000,11000,14000,16000,17000,19000,20000,20000,20000,20000,20000,20000,161,0,11000.0,10537.61787511184,185.35716599944863,20422.144759999355,477.360248447205
1726068834,200,,Aggregated,6.100000,0.000000,11000,14000,16000,17000,19000,20000,21000,21000,21000,21000,21000,167,0,11000.0,10909.962706107788,185.35716599944863,21228.340083998773,477.3353293413174
1726068835,200,,Aggregated,6.100000,0.000000,12000,15000,17000,18000,20000,21000,22000,22000,22000,22000,22000,173,0,12000.0,11280.756848959543,185.35716599944863,21836.28241000042,477.34104046242777
1726068836,200,,Aggregated,6.100000,0.000000,12000,15000,17000,18000,21000,22000,22000,23000,23000,23000,23000,179,0,12000.0,11650.801412631263,185.35716599944863,22709.625059000246,477.3631284916201
1726068837,200,,Aggregated,6.100000,0.000000,12000,16000,18000,19000,21000,22000,23000,23000,23000,23000,23000,185,0,12000.0,12020.779291567564,185.35716599944863,23307.41577899971,477.31891891891894
1726068838,200,,Aggregated,6.100000,0.000000,13000,16000,18000,20000,22000,23000,24000,24000,24000,24000,24000,191,0,13000.0,12390.61159569109,185.35716599944863,24147.14469899991,477.3193717277487
1726068839,200,,Aggregated,6.000000,0.000000,13000,17000,19000,20000,23000,24000,25000,25000,25000,25000,25000,197,0,13000.0,12764.089481934005,185.35716599944863,24966.528335000476,477.34517766497464
1726068840,200,,Aggregated,6.000000,0.000000,13000,17000,20000,21000,23000,24000,25000,25000,26000,26000,26000,203,0,13000.0,13135.514996748763,185.35716599944863,25628.391678001208,477.3497536945813
1726068841,200,,Aggregated,6.000000,0.000000,14000,18000,20000,21000,24000,25000,26000,26000,26000,26000,26000,209,0,14000.0,13505.321414842096,185.35716599944863,26320.20663900039,477.3492822966507
1726068842,200,,Aggregated,6.000000,0.000000,14000,18000,21000,22000,25000,26000,27000,27000,27000,27000,27000,215,0,14000.0,13875.026460581406,185.35716599944863,27095.990575999167,477.3302325581395
1726068843,200,,Aggregated,6.000000,0.000000,14000,19000,21000,22000,25000,26000,27000,28000,28000,28000,28000,221,0,14000.0,14248.488686742134,185.35716599944863,28038.3743420025,477.34841628959276
1726068844,200,,Aggregated,6.000000,0.000000,15000,19000,22000,23000,26000,27000,28000,29000,29000,29000,29000,227,0,15000.0,14624.980348475827,185.35716599944863,28749.087832999066,477.352422907489
